Time,E_EW (V/km),E_NS (V/km)
69500,-0.200923545,-0.035630559
69510,-0.214072556,0.109492245
69520,-0.254699493,0.119442065
69530,-0.271639004,0.144297899
69540,-0.223012808,0.11381148
69550,-0.244301864,0.124004242
69560,-0.232893398,0.120834847
69570,-0.257367479,0.095775157
69580,-0.300983049,0.097318592
69590,-0.331696188,-0.051523239
69600,-0.371708051,-0.094487277
69610,-0.441198611,-0.124675925
69620,-0.455411022,-0.115000168
69630,-0.460641426,-0.067565585
69640,-0.431316909,-0.016899289
69650,-0.314244192,0.072369265
69660,-0.229006429,0.040752715
69670,-0.102543116,0.042698909
69680,-0.008426292,0.074311328
69690,0.128855084,0.116107241
69700,0.214317732,0.088115337
69710,0.23114093,0.04266292
69720,0.225293528,0.014339246
69730,0.170226736,0.074365097
69740,0.094930007,0.124029191
69750,0.047891185,0.133289534
69760,-0.016448596,0.15631035
69770,-0.024216658,0.15736363
69780,-0.098891726,0.232877555
69790,-0.199378526,0.218568761
69800,-0.248828841,0.119826641
69810,-0.259465736,0.127165453
69820,-0.268145711,0.167310072
69830,-0.278518616,0.192603436
69840,-0.230908103,0.227402861
69850,-0.252196852,0.272925045
69860,-0.221584409,0.190583557
69870,-0.192192922,0.083176927
69880,-0.19602151,0.03410569
69890,-0.18287374,-0.089469886
69900,-0.228334495,-0.186494865
69910,-0.286391325,-0.267643459
69920,-0.305464788,-0.308774346
69930,-0.257789461,-0.280132535
69940,-0.259807757,-0.260438434
69950,-0.25190705,-0.236754597
69960,-0.243233646,-0.223005015
69970,-0.200615308,-0.256476079
69980,-0.167866873,-0.209314287
69990,-0.129118779,-0.148681982
70000,-0.042885599,-0.111959555
70010,-0.016596576,-0.032350238
70020,-0.005532806,0.047209563
70030,-0.012847823,0.061875715
70040,-0.055642628,0.124850311
70050,-0.085532033,0.198277248
70060,-0.120658687,0.249465481
70070,-0.183931179,0.266410522
70080,-0.287416152,0.260029159
70090,-0.342917141,0.181789629
70100,-0.394900079,0.201735154
70110,-0.416764473,0.155301855
70120,-0.412229767,0.131363369
70130,-0.392397521,0.103950026
70140,-0.400666966,0.025366228
70150,-0.393541023,-0.033196634
70160,-0.426071688,-0.108020967
70170,-0.397982156,-0.125724133
70180,-0.352458287,-0.209892303
70190,-0.286186442,-0.242499982
70200,-0.220405906,-0.220076952
70210,-0.118996345,-0.321339596
70220,-0.005870085,-0.352111033
70230,0.015573029,-0.343185868
70240,-0.034108373,-0.361003171
70250,-0.047795638,-0.342383358
70260,-0.085274093,-0.2894069
70270,-0.055632862,-0.235235487
70280,-0.120581186,-0.182234874
70290,-0.177968006,-0.031655246
70300,-0.209969684,0.120557543
70310,-0.23088335,0.240688626
70320,-0.245624718,0.343136171
70330,-0.256775485,0.398869413
70340,-0.284799829,0.458304376
70350,-0.326506768,0.412652796
70360,-0.376349199,0.376131189
70370,-0.412528127,0.34462445
70380,-0.456939376,0.28829275
70390,-0.549341797,0.231393939
70400,-0.562596504,0.195808325
70410,-0.583524595,0.117102769
70420,-0.549672375,0.038448379
70430,-0.542212717,0.024729237
70440,-0.488961696,-0.018124658
70450,-0.505696137,-0.036897266
70460,-0.490975505,-0.047264954
70470,-0.436010003,-0.057667539
70480,-0.436101623,-0.086377943
70490,-0.463310821,-0.033259105
70500,-0.481917098,0.030140358
70510,-0.531776103,0.049498456
70520,-0.512744782,0.057666217
70530,-0.49170163,0.006719986
70540,-0.482402759,-0.053171515
70550,-0.477540835,-0.072641486
70560,-0.551946632,-0.178543309
70570,-0.534982239,-0.206260768
70580,-0.587049539,-0.175699684
70590,-0.521766649,-0.041152052
70600,-0.461029313,-0.057476032
70610,-0.40910933,-0.13001969
70620,-0.353780515,-0.138795129
70630,-0.35325943,-0.233277745
70640,-0.338294726,-0.33092153
70650,-0.379514889,-0.414131135
70660,-0.413549759,-0.435317952
70670,-0.335449824,-0.39001925
70680,-0.25106448,-0.359626102
70690,-0.159072142,-0.289700708
70700,-0.112004377,-0.258410238
70710,-0.140153808,-0.264464567
70720,-0.219149717,-0.232461048
70730,-0.291033878,-0.166941584
70740,-0.335195219,-0.197540385
70750,-0.304604196,-0.056765842
70760,-0.315585816,0.083478924
70770,-0.350977867,0.171041285
70780,-0.317874576,0.326649215
70790,-0.249107179,0.409046791
70800,-0.221320522,0.382832955
70810,-0.207528264,0.364806709
70820,-0.19625005,0.268672483
70830,-0.167883318,0.025881825
70840,-0.260175401,-0.148221774
70850,-0.278250029,-0.40626637
70860,-0.332816203,-0.618650547
70870,-0.302418141,-0.77886063
70880,-0.250694278,-0.722338516
70890,-0.218855506,-0.595643665
70900,-0.141769383,-0.580104934
70910,-0.140160576,-0.648516821
70920,-0.148337707,-0.723418491
70930,-0.187036187,-0.623069816
70940,-0.177133052,-0.425052999
70950,-0.104430548,-0.196006157
70960,-0.088285005,-0.002484265
70970,-0.123233062,0.049801848
70980,-0.109309909,0.038476315
70990,-0.206235303,0.037142168
71000,-0.286314519,0.083807966
71010,-0.409524419,0.029193203
71020,-0.444148699,0.002027363
71030,-0.380927925,-0.062012094
71040,-0.33568846,-0.071427159
71050,-0.275121659,-0.087114678
71060,-0.155302228,-0.06292631
71070,0.008354963,-0.136695317
71080,0.162030887,-0.219222167
71090,0.209902555,-0.309664662
71100,0.121916613,-0.489642889
71110,-0.01855191,-0.605061617
71120,-0.166650263,-0.580711184
71130,-0.168177314,-0.443538081
71140,-0.210533907,-0.330427186
71150,-0.252819554,-0.187679476
71160,-0.299118642,-0.163237326
71170,-0.391823971,-0.314433759
71180,-0.462261311,-0.332375667
71190,-0.297576099,-0.282845636
71200,-0.164364835,-0.057862659
71210,-0.014251825,0.132509807
71220,0.036374059,0.117066111
71230,0.022042052,-0.004187159
71240,0.091331744,-0.083468339
71250,0.154010727,-0.106228528
71260,0.118466602,-0.154548957
71270,0.050260421,-0.288293288
71280,0.046845964,-0.387750585
71290,0.074199485,-0.44968134
71300,0.094634079,-0.512905009
71310,0.05071591,-0.638553872
71320,-0.080473642,-0.812768482
71330,-0.136819091,-0.862868364
71340,-0.221035302,-0.715746975
71350,-0.287738618,-0.492661135
71360,-0.331564065,-0.30835959
71370,-0.325511539,-0.230085301
71380,-0.45510603,-0.242665326
71390,-0.68012519,-0.329904528
71400,-0.533878659,-0.198409027
71410,-0.395745663,-0.155719736
71420,-0.404479514,-0.088332242
71430,-0.233681421,-0.125947885
71440,-0.01574505,-0.278096898
71450,-0.006249635,-0.404758775
71460,0.076157273,-0.578725469
71470,0.251628207,-0.552464525
71480,0.131019581,-0.493813646
71490,-0.000480827,-0.311634876
71500,-0.320352917,-0.195448065
71510,-0.463370398,-0.1499957
71520,-0.513135589,-0.158781412
71530,-0.572024867,-0.338214382
71540,-0.448870519,-0.589503595
71550,-0.465507807,-0.586981764
71560,-0.602687852,-0.480728464
71570,-0.550429397,-0.298786656
71580,-0.416548194,-0.1720089
71590,-0.426116398,0.096443999
71600,-0.529600088,0.282160153
71610,-0.700394059,0.320500162
71620,-0.688302949,0.306178336
71630,-0.621889972,0.30590466
71640,-0.431031818,0.182727975
71650,-0.40653439,-0.081918759
71660,-0.511801995,-0.305615627
71670,-0.491644338,-0.543092369
71680,-0.420693663,-0.559284502
71690,-0.393248259,-0.358822198
71700,-0.457296867,-0.217101498
71710,-0.392939298,-0.044610429
71720,-0.272504788,0.002425467
71730,-0.248597568,-0.095746117
71740,-0.300355213,-0.341620548
71750,-0.413433616,-0.555902476
71760,-0.377422379,-0.59684424
71770,-0.160147067,-0.439640899
71780,-0.076606714,-0.22829222
71790,0.171030973,-0.148682977
71800,0.331803885,-0.149651652
71810,0.428263819,-0.208523331
71820,0.406381861,-0.326825551
71830,0.428277667,-0.429256115
71840,0.520783164,-0.418092125
71850,0.404436531,-0.362813553
71860,0.172303009,-0.270453917
71870,0.09514645,-0.36022466
71880,0.162373618,-0.405595192
71890,0.100805517,-0.460731552
71900,0.096518302,-0.620228741
71910,0.030295528,-0.45292676
