Time,E_EW (V/km),E_NS (V/km)
3520,0.010897692,-0.034053252
3530,0.025597531,0.00616908
3540,0.002887466,-0.008378954
3550,-8.53222E-05,0.006227598
3560,0.002223256,0.005722169
3570,0.002825008,0.001514028
3580,0.020483442,-0.017723567
3590,0.01687497,0.002487618
3600,-0.00625039,0.044789901
3610,-0.005297745,-0.007706161
3620,0.016203636,0.00983127
3630,0.014146869,0.028941425
3640,0.009334,-0.020609279
3650,0.007162384,0.020801869
3660,0.023416259,0.021526567
3670,0.019023858,-0.005212737
3680,0.012928901,-0.028937419
3690,0.009988069,-0.020812755
3700,0.031581788,-0.029743654
3710,0.025656097,0.01859191
3720,0.017475287,-0.022943195
3730,-0.009819533,0.034659501
3740,-0.007373828,-0.008900514
3750,0.021818991,0.008360364
3760,0.019328982,-0.030534741
3770,-0.010295892,-0.009478645
3780,0.014997482,-0.01968996
3790,0.015959481,0.023983842
3800,0.010892822,-0.019587151
3810,0.008672978,-0.021415421
3820,0.007389171,0.028033704
3830,0.024054353,-7.61409E-05
3840,0.019867019,0.017097762
3850,0.013876331,-0.008343632
3860,0.010986562,0.030747954
3870,0.009269019,0.009288094
3880,0.008142817,0.019172196
3890,0.007346855,0.016097949
3900,0.006749035,0.010284625
3910,0.006277089,-0.033371702
3920,0.005889166,-0.003314592
3930,0.023059481,0.003753511
3940,0.019176672,0.001539096
3950,0.0133796,-0.02238437
3960,0.028118289,-0.017848724
3970,0.005394366,-0.010597479
3980,0.019885676,0.016023444
3990,0.018552544,0.048057732
4000,0.013561439,-0.023745764
4010,-0.006363006,-0.002166684
4020,0.013248979,0.005050763
4030,-0.003308568,0.002454723
4040,0.014043702,0.001574917
4050,0.014311484,0.036119094
4060,-0.007207011,0.01115829
4070,-0.005407633,-0.014004424
4080,-0.01842098,0.007450087
4090,-0.0129931,-0.008498016
4100,0.028461394,0.009199172
4110,0.006778329,0.009709305
4120,0.00095794,0.023384176
4130,0.00242974,0.041491596
4140,0.020241796,0.030248415
4150,0.016725872,-0.021066779
4160,0.011178881,-0.00034719
4170,0.031940008,0.029291187
4180,0.025669541,-0.017904065
4190,-0.005987116,6.11001E-05
4200,0.018127719,0.005686932
4210,0.018367276,0.003907305
4220,0.012837373,0.026653612
4230,0.010308481,0.021531114
4240,0.026310437,-0.026914439
4250,0.004227255,-0.022070354
4260,0.019076319,0.006327898
4270,0.035457022,-0.010143101
4280,0.009506258,-0.009647604
4290,0.005226243,-0.005233769
4300,0.024317596,0.014233112
4310,0.003377808,-0.005767669
4320,0.001285716,-0.007052752
4330,0.004060449,-0.021118339
4340,0.004914868,0.018872377
4350,0.022708763,0.041301269
4360,0.001668942,-0.012439588
4370,-0.000332215,-0.014804796
4380,0.020070731,-0.007031118
4390,0.017454568,-0.004056826
